raw_name,category_en,category_ru,semantic_subtype_en,semantic_subtype_ru,canonical_name_en,canonical_name_ru,visual_attributes_en,visual_attributes_ru,semantic_identity_visually_recoverable,color_en,color_ru,allowed_synonyms_ru,usable_v0,notes
akita_black_bowl,bowl,миска,ceramic bowl,керамическая миска,black bowl,черная миска,black round bowl,черная круглая миска,yes,black,черная,пиала,yes,
alphabet_soup,can,банка,soup,суп,soup can,банка супа,blue-orange can,сине-оранжевая банка,no,blue,синяя,консервная банка супа,yes,
baked_green_cube_3cm,cube,кубик,cube,кубик,green cube,зеленый кубик,small green cube,маленький зеленый кубик,yes,green,зеленый,куб,yes,
baked_yellow_cube_3cm,cube,кубик,cube,кубик,yellow cube,желтый кубик,small yellow cube,маленький желтый кубик,yes,yellow,желтый,куб,yes,
basket,basket,корзина,woven basket,плетеная корзина,basket,корзина,beige woven basket,бежевая плетеная корзина,yes,beige,бежевая,корзинка,yes,
bbq_sauce,bottle,бутылка,barbecue sauce,соус барбекю,barbecue sauce bottle,бутылка соуса барбекю,brown bottle with an orange cap,коричневая бутылка с оранжевой крышкой,no,brown,коричневая,бутылка с соусом барбекю,yes,
bridge_carrot_generated_modified,vegetable,овощ,carrot,морковь,carrot,морковь,orange carrot,оранжевая морковь,yes,orange,оранжевая,морковка,yes,
bridge_plate_objaverse_larger,plate,тарелка,dinner plate,столовая тарелка,yellow plate,желтая тарелка,large pale yellow plate,большая светло-желтая тарелка,yes,yellow,желтая,столовая тарелка,yes,
bridge_spoon_generated_modified,cutlery,столовый прибор,spoon,ложка,green-handled spoon,ложка с зеленой ручкой,white spoon with a green handle,белая ложка с зеленой ручкой,yes,green,зеленая,ложечка,yes,
butter,brick pack,брикет,butter,сливочное масло,butter package,брикет масла,red brick pack with a blue cow,красный брикет с синей коровой,no,red,красный,упаковка масла,yes,
chocolate_pudding,brick pack,брикет,chocolate pudding,шоколадный пудинг,chocolate pudding package,брикет шоколадного пудинга,brown-blue brick pack,коричнево-голубой брикет,no,brown,коричневый,упаковка шоколадного пудинга,yes,
cookies,box,коробка,cookies,печенье,cookie box,коробка печенья,red-white box,красно-белая коробка,no,red,красная,упаковка печенья,no,слишком многоцветная
cream_cheese,brick pack,брикет,cream cheese,сливочный сыр,cream cheese package,брикет сливочного сыра,white brick pack with blue lettering,белый брикет с синей надписью,no,white,белый,пачка сливочного сыра,yes,
eggplant,vegetable,овощ,eggplant,баклажан,eggplant,баклажан,purple eggplant,фиолетовый баклажан,yes,purple,фиолетовый,баклажанчик,yes,
flat_stove,appliance,плита,portable hot plate,настольная электроплитка,portable stove,электроплитка,gray stove with a black burner,серая плитка с черной конфоркой,yes,gray,серая,настольная плита,yes,
glazed_rim_porcelain_ramekin,dish,посуда,porcelain ramekin,фарфоровая форма для запекания,ramekin,формочка,blue-gray round ramekin,серо-голубая круглая формочка,yes,blue-gray,серо-голубая,форма для запекания,yes,
ketchup,bottle,бутылка,ketchup,кетчуп,ketchup bottle,бутылка кетчупа,orange bottle with a white cap,оранжевая бутылка с белой крышкой,no,orange,оранжевая,бутылка с кетчупом,yes,
milk,carton,пакет,milk,молоко,milk carton,пакет молока,red-black carton,красно-черный пакет,no,red,красный,картонный пакет молока,yes,
orange_juice,carton,пакет,orange juice,апельсиновый сок,orange juice carton,пакет апельсинового сока,orange-white carton,оранжево-белый пакет,no,orange,оранжевый,картонный пакет апельсинового сока,yes,
plate,plate,тарелка,dinner plate,столовая тарелка,plate,тарелка,white plate with a pink rim,белая тарелка с розовым краем,yes,white,белая,столовая тарелка,yes,
salad_dressing,bottle,бутылка,salad dressing,соус для салата,salad dressing bottle,бутылка соуса для салата,white bottle with a green cap,белая бутылка с зеленой крышкой,no,white,белая,бутылка с соусом для салата,no,неочевидная форма
sink,sink,раковина,kitchen sink,кухонная раковина,sink,раковина,light blue sink,голубая раковина,yes,light blue,голубая,мойка,yes,
table_cloth_generated_shorter,towel,полотенце,kitchen towel,кухонное полотенце,light blue towel,голубое полотенце,folded light blue towel,сложенное голубое полотенце,yes,light blue,голубое,голубая тряпка,yes,
tomato_sauce,can,банка,tomato sauce,томатный соус,tomato sauce can,банка томатного соуса,red-green can,красно-зеленая банка,no,red,красная,консервная банка с томатным соусом,yes,
wine_bottle,bottle,бутылка,wine,вино,wine bottle,бутылка вина,dark bottle with an orange label,темная бутылка с оранжевой этикеткой,yes,black,черная,винная бутылка,yes,
wine_rack,rack,стеллаж,wine rack,винный стеллаж,wine rack,винная стойка,light brown wooden rack,светло-коричневая деревянная стойка,yes,brown,коричневая,винный стеллаж,yes,
wooden_cabinet,cabinet,шкаф,drawer cabinet,шкаф с ящиками,cabinet,шкаф,dark cabinet with silver handles,темный шкаф с серебристыми ручками,yes,black,черный,шкафчик,yes,
